ref	value
C1	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610 
C2	4.7uF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2070520
C3	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C4	4.7uF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2070520
C5	18pF        	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1710190
C6	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C7	4.7uF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2070520
C8	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C9	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C10	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C11	18pF        	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1710190
C12	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C13	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C14	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C15	3.3uF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1108324
C16	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
C17	100nF       	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1414610
IC1	FT2232      	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1697461
L1	600R/0.5A   	http://uk.farnell.com/jsp/search/productdetail.jsp?SKU=1781094
L2	600R/0.5A   	http://uk.farnell.com/jsp/search/productdetail.jsp?SKU=1781094
R1	56K         	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1688483
R2	12K         	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2059631
R3	1K          	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2059601
R4	10M         	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1469750
R5	1K          	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2059601
U1	USBCONN     	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=2112367
U2	LP2980      	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1135395
X1	12MHz       	http://uk.farnell.com/jsp/search/productdetail.jsp?SKU=1538826
XS1	M50-3501142-SMD	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1865280 (?FCI need 11 way!)
XS2	M50-3501142-SMD	http://uk.farnell.com/jsp/search/productdetail.jsp?sku=1865280 (?FCI need 11 way!)
